LSOA11CD,LSOA11NM,MSOA11CD,MSOA11NM,LAD11CD,LAD11NM,RGN11CD,RGN11NM,USUALRES,HHOLDRES,COMESTRES,POPDEN,HHOLDS,AVHHOLDSZ,night_bus_stop_count,night_tube_station_count,night_transit_score
E01000017,Barking and Dagenham 009C,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,E12000007,London,1594,1594,0,100.6,609,2.6,0,0,0
E01000018,Barking and Dagenham 009D,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,E12000007,London,1597,1597,0,91.9,612,2.6,0,0,0
E01000019,Barking and Dagenham 023A,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,E12000007,London,1407,1407,0,76.5,504,2.8,0,0,0
E01000020,Barking and Dagenham 023B,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,E12000007,London,1834,1773,61,98.0,650,2.7,0,0,0
E01000021,Barking and Dagenham 008A,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,E12000007,London,1579,1579,0,93.3,593,2.7,0,0,0
E01000022,Barking and Dagenham 008B,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,E12000007,London,1314,1314,0,102.4,474,2.8,0,0,0
E01000023,Barking and Dagenham 008C,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,E12000007,London,1112,1112,0,53.7,500,2.2,3,0,3
E01000024,Barking and Dagenham 008D,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,E12000007,London,1336,1325,11,103.9,456,2.9,2,0,2
E01000025,Barking and Dagenham 008E,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,E12000007,London,1609,1609,0,104.9,629,2.6,1,0,1
E01000027,Barking and Dagenham 001A,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,E12000007,London,1709,1688,21,11.6,641,2.6,0,0,0
E01000028,Barking and Dagenham 001B,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,E12000007,London,1549,1519,30,107.7,612,2.5,0,0,0
E01000029,Barking and Dagenham 001C,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,E12000007,London,1602,1602,0,62.4,690,2.3,0,0,0
E01000030,Barking and Dagenham 001D,E02000002,Barking and Dagenham 001,E09000002,Barking and Dagenham,E12000007,London,1915,1915,0,66.9,770,2.5,0,0,0
E01000031,Barking and Dagenham 002A,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,E12000007,London,1617,1617,0,19.2,598,2.7,1,0,1
E01000032,Barking and Dagenham 002B,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,E12000007,London,1629,1629,0,43.4,631,2.6,1,0,1
E01000033,Barking and Dagenham 006A,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,E12000007,London,1361,1361,0,93.7,533,2.6,0,0,0
E01000034,Barking and Dagenham 003A,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,E12000007,London,1444,1348,96,28.1,517,2.6,0,0,0
E01000035,Barking and Dagenham 010A,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,E12000007,London,1610,1543,67,40.5,567,2.7,0,0,0
E01000036,Barking and Dagenham 010B,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,E12000007,London,1353,1353,0,32.3,469,2.9,0,0,0
E01000037,Barking and Dagenham 003B,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,E12000007,London,1688,1547,141,72.3,579,2.7,0,0,0
E01000038,Barking and Dagenham 003C,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,E12000007,London,1447,1447,0,67.6,563,2.6,0,0,0
E01000039,Barking and Dagenham 003D,E02000004,Barking and Dagenham 003,E09000002,Barking and Dagenham,E12000007,London,1603,1595,8,10.5,659,2.4,0,0,0
E01000040,Barking and Dagenham 019A,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,E12000007,London,1569,1569,0,91.9,640,2.5,0,0,0
E01000041,Barking and Dagenham 017A,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,E12000007,London,1682,1682,0,110.2,607,2.8,0,0,0
E01000042,Barking and Dagenham 017B,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,E12000007,London,1788,1786,2,77.3,679,2.6,0,0,0
E01000043,Barking and Dagenham 019B,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,E12000007,London,1358,1356,2,51.0,461,2.9,0,0,0
E01000044,Barking and Dagenham 016D,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,E12000007,London,1798,1793,5,105.4,629,2.9,0,0,0
E01000045,Barking and Dagenham 017C,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,E12000007,London,1650,1646,4,55.3,602,2.7,0,0,0
E01000046,Barking and Dagenham 017D,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,E12000007,London,1779,1779,0,114.4,654,2.7,0,0,0
E01000048,Barking and Dagenham 021B,E02000022,Barking and Dagenham 021,E09000002,Barking and Dagenham,E12000007,London,1783,1783,0,275.6,644,2.8,0,0,0
E01000049,Barking and Dagenham 021C,E02000022,Barking and Dagenham 021,E09000002,Barking and Dagenham,E12000007,London,1820,1820,0,85.8,643,2.8,0,0,0
E01000050,Barking and Dagenham 019C,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,E12000007,London,1661,1661,0,120.6,615,2.7,0,0,0
E01000051,Barking and Dagenham 021D,E02000022,Barking and Dagenham 021,E09000002,Barking and Dagenham,E12000007,London,1927,1927,0,288.9,725,2.7,0,0,0
E01000052,Barking and Dagenham 019D,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,E12000007,London,2014,2014,0,100.9,769,2.6,0,0,0
E01000053,Barking and Dagenham 020A,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,E12000007,London,1485,1484,1,82.1,645,2.3,0,0,0
E01000054,Barking and Dagenham 018A,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,E12000007,London,1718,1718,0,100.4,638,2.7,0,0,0
E01000055,Barking and Dagenham 018B,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,E12000007,London,1553,1553,0,106.4,560,2.8,0,0,0
E01000056,Barking and Dagenham 018C,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,E12000007,London,1584,1542,42,65.0,573,2.7,0,0,0
E01000057,Barking and Dagenham 012A,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,E12000007,London,1496,1496,0,101.3,537,2.8,0,0,0
E01000058,Barking and Dagenham 018D,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,E12000007,London,1849,1849,0,101.5,690,2.7,0,0,0
E01000059,Barking and Dagenham 013C,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,E12000007,London,1582,1540,42,75.9,578,2.7,0,0,0
E01000060,Barking and Dagenham 006B,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,E12000007,London,1809,1809,0,32.9,770,2.3,3,0,3
E01000061,Barking and Dagenham 006C,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,E12000007,London,1776,1719,57,29.1,668,2.6,3,0,3
E01000062,Barking and Dagenham 006D,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,E12000007,London,1952,1952,0,88.2,761,2.6,0,0,0
E01000063,Barking and Dagenham 004A,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,E12000007,London,1620,1620,0,89.4,635,2.6,1,0,1
E01000064,Barking and Dagenham 006E,E02000007,Barking and Dagenham 006,E09000002,Barking and Dagenham,E12000007,London,1893,1831,62,90.7,709,2.6,0,0,0
E01000065,Barking and Dagenham 007A,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,E12000007,London,1736,1736,0,74.3,774,2.2,2,0,2
E01000066,Barking and Dagenham 011A,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,E12000007,London,1928,1928,0,78.7,683,2.8,0,0,0
E01000067,Barking and Dagenham 011B,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,E12000007,London,1969,1969,0,102.3,679,2.9,3,0,3
E01000068,Barking and Dagenham 016E,E02000017,Barking and Dagenham 016,E09000002,Barking and Dagenham,E12000007,London,1590,1575,15,46.8,462,3.4,2,0,2
E01000069,Barking and Dagenham 011C,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,E12000007,London,1763,1756,7,87.9,513,3.4,0,0,0
E01000070,Barking and Dagenham 011D,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,E12000007,London,1975,1975,0,50.4,598,3.3,2,0,2
E01000071,Barking and Dagenham 011E,E02000012,Barking and Dagenham 011,E09000002,Barking and Dagenham,E12000007,London,2253,2251,2,83.3,785,2.9,0,0,0
E01000072,Barking and Dagenham 017E,E02000018,Barking and Dagenham 017,E09000002,Barking and Dagenham,E12000007,London,1991,1991,0,38.3,784,2.5,0,0,0
E01000073,Barking and Dagenham 012B,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,E12000007,London,1619,1619,0,56.9,627,2.6,0,0,0
E01000074,Barking and Dagenham 012C,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,E12000007,London,1567,1567,0,95.4,629,2.5,0,0,0
E01000075,Barking and Dagenham 012D,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,E12000007,London,1732,1732,0,33.5,622,2.8,0,0,0
E01000076,Barking and Dagenham 012E,E02000013,Barking and Dagenham 012,E09000002,Barking and Dagenham,E12000007,London,1988,1982,6,104.2,710,2.8,0,0,0
E01000077,Barking and Dagenham 008F,E02000009,Barking and Dagenham 008,E09000002,Barking and Dagenham,E12000007,London,1445,1437,8,83.1,560,2.6,1,0,1
E01000078,Barking and Dagenham 007B,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,E12000007,London,1666,1666,0,94.8,649,2.6,0,0,0
E01000079,Barking and Dagenham 009E,E02000010,Barking and Dagenham 009,E09000002,Barking and Dagenham,E12000007,London,1546,1546,0,49.9,609,2.5,0,0,0
E01000080,Barking and Dagenham 007C,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,E12000007,London,1556,1556,0,67.3,594,2.6,0,0,0
E01000081,Barking and Dagenham 007D,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,E12000007,London,1688,1688,0,90.9,648,2.6,0,0,0
E01000082,Barking and Dagenham 007E,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,E12000007,London,1683,1678,5,104.7,672,2.5,2,0,2
E01000083,Barking and Dagenham 007F,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,E12000007,London,1700,1700,0,94.5,629,2.7,2,0,2
E01000084,Barking and Dagenham 013D,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,E12000007,London,1355,1355,0,90.3,517,2.6,0,0,0
E01000085,Barking and Dagenham 013E,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,E12000007,London,1718,1711,7,118.2,640,2.7,0,0,0
E01000086,Barking and Dagenham 013F,E02000014,Barking and Dagenham 013,E09000002,Barking and Dagenham,E12000007,London,1431,1431,0,102.1,508,2.8,0,0,0
E01000087,Barking and Dagenham 020B,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,E12000007,London,1341,1341,0,36.0,503,2.7,0,0,0
E01000088,Barking and Dagenham 020C,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,E12000007,London,1828,1723,105,80.7,640,2.7,0,0,0
E01000089,Barking and Dagenham 020D,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,E12000007,London,1666,1666,0,114.5,612,2.7,0,0,0
E01000090,Barking and Dagenham 020E,E02000021,Barking and Dagenham 020,E09000002,Barking and Dagenham,E12000007,London,1584,1584,0,8.1,549,2.9,0,0,0
E01000091,Barking and Dagenham 022A,E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,E12000007,London,1714,1714,0,69.6,633,2.7,0,0,0
E01000092,Barking and Dagenham 019E,E02000020,Barking and Dagenham 019,E09000002,Barking and Dagenham,E12000007,London,2674,2674,0,10.1,975,2.7,0,0,0
E01000093,Barking and Dagenham 022B,E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,E12000007,London,1547,1547,0,52.7,642,2.4,0,0,0
E01000094,Barking and Dagenham 022C,E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,E12000007,London,1326,1326,0,22.0,517,2.6,0,0,0
E01000095,Barking and Dagenham 018E,E02000019,Barking and Dagenham 018,E09000002,Barking and Dagenham,E12000007,London,1572,1572,0,6.9,549,2.9,0,0,0
E01000096,Barking and Dagenham 022D,E02000023,Barking and Dagenham 022,E09000002,Barking and Dagenham,E12000007,London,1895,1895,0,31.5,639,3.0,0,0,0
E01000097,Barking and Dagenham 023C,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,E12000007,London,1683,1683,0,93.9,708,2.4,0,0,0
E01000098,Barking and Dagenham 023D,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,E12000007,London,1746,1746,0,99.5,625,2.8,0,0,0
E01000099,Barking and Dagenham 023E,E02006799,Barking and Dagenham 023,E09000002,Barking and Dagenham,E12000007,London,1732,1732,0,55.9,666,2.6,0,0,0
E01000100,Barking and Dagenham 004B,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,E12000007,London,1653,1653,0,78.2,615,2.7,0,0,0
E01000101,Barking and Dagenham 004C,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,E12000007,London,1513,1513,0,92.3,567,2.7,1,0,1
E01000102,Barking and Dagenham 007G,E02000008,Barking and Dagenham 007,E09000002,Barking and Dagenham,E12000007,London,1540,1540,0,60.9,625,2.5,0,0,0
E01000103,Barking and Dagenham 014A,E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,E12000007,London,1685,1685,0,24.0,600,2.8,0,0,0
E01000104,Barking and Dagenham 014B,E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,E12000007,London,1781,1781,0,80.9,739,2.4,0,0,0
E01000105,Barking and Dagenham 014C,E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,E12000007,London,2129,2115,14,96.4,915,2.3,0,0,0
E01000106,Barking and Dagenham 014D,E02000015,Barking and Dagenham 014,E09000002,Barking and Dagenham,E12000007,London,1968,1968,0,89.7,916,2.1,0,0,0
E01000107,Barking and Dagenham 010C,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,E12000007,London,1666,1632,34,31.1,601,2.7,0,0,0
E01000108,Barking and Dagenham 010D,E02000011,Barking and Dagenham 010,E09000002,Barking and Dagenham,E12000007,London,1558,1558,0,64.4,652,2.4,0,0,0
E01000109,Barking and Dagenham 004D,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,E12000007,London,1686,1686,0,44.9,608,2.8,0,0,0
E01000110,Barking and Dagenham 002C,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,E12000007,London,1416,1404,12,72.8,501,2.8,2,0,2
E01000111,Barking and Dagenham 002D,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,E12000007,London,1833,1833,0,61.8,732,2.5,0,0,0
E01000112,Barking and Dagenham 002E,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,E12000007,London,1871,1871,0,67.4,739,2.5,2,0,2
E01000113,Barking and Dagenham 002F,E02000003,Barking and Dagenham 002,E09000002,Barking and Dagenham,E12000007,London,1679,1679,0,109.1,633,2.7,2,0,2
E01000114,Barking and Dagenham 004E,E02000005,Barking and Dagenham 004,E09000002,Barking and Dagenham,E12000007,London,2090,2090,0,81.6,758,2.8,0,0,0
E01000115,Barnet 009A,E02000032,Barnet 009,E09000003,Barnet,E12000007,London,1484,1460,24,54.2,485,3.0,0,0,0
E01000116,Barnet 009B,E02000032,Barnet 009,E09000003,Barnet,E12000007,London,1718,1718,0,70.1,623,2.8,0,0,0
E01000117,Barnet 010A,E02000033,Barnet 010,E09000003,Barnet,E12000007,London,1819,1819,0,54.9,762,2.4,0,0,0
E01000118,Barnet 010B,E02000033,Barnet 010,E09000003,Barnet,E12000007,London,1936,1936,0,67.8,709,2.7,0,0,0
E01000119,Barnet 009C,E02000032,Barnet 009,E09000003,Barnet,E12000007,London,1680,1680,0,42.3,607,2.8,0,0,0
E01000120,Barnet 009D,E02000032,Barnet 009,E09000003,Barnet,E12000007,London,1504,1504,0,61.4,505,3.0,0,0,0
E01000121,Barnet 010C,E02000033,Barnet 010,E09000003,Barnet,E12000007,London,1497,1398,99,39.8,501,2.8,0,0,0
E01000122,Barnet 009E,E02000032,Barnet 009,E09000003,Barnet,E12000007,London,1471,1463,8,62.3,522,2.8,0,0,0
E01000123,Barnet 010D,E02000033,Barnet 010,E09000003,Barnet,E12000007,London,1664,1664,0,31.6,685,2.4,0,0,0
E01000124,Barnet 010E,E02000033,Barnet 010,E09000003,Barnet,E12000007,London,1621,1621,0,63.4,660,2.5,0,0,0
E01000125,Barnet 024A,E02000047,Barnet 024,E09000003,Barnet,E12000007,London,2779,2690,89,90.3,1015,2.7,1,0,1
E01000126,Barnet 026A,E02000049,Barnet 026,E09000003,Barnet,E12000007,London,2162,2162,0,134.0,726,3.0,3,0,3
E01000127,Barnet 024B,E02000047,Barnet 024,E09000003,Barnet,E12000007,London,1505,1505,0,75.0,514,2.9,2,0,2
E01000128,Barnet 024C,E02000047,Barnet 024,E09000003,Barnet,E12000007,London,1869,1869,0,75.7,624,3.0,1,0,1
E01000129,Barnet 024D,E02000047,Barnet 024,E09000003,Barnet,E12000007,London,1782,1715,67,103.7,624,2.7,7,1,10
E01000130,Barnet 021A,E02000044,Barnet 021,E09000003,Barnet,E12000007,London,1603,1603,0,93.6,570,2.8,2,0,2
E01000131,Barnet 024E,E02000047,Barnet 024,E09000003,Barnet,E12000007,London,1806,1796,10,53.7,634,2.8,1,0,1
E01000132,Barnet 021B,E02000044,Barnet 021,E09000003,Barnet,E12000007,London,1478,1478,0,96.3,495,3.0,0,0,0
E01000133,Barnet 021C,E02000044,Barnet 021,E09000003,Barnet,E12000007,London,1601,1601,0,102.9,565,2.8,0,0,0
E01000134,Barnet 024F,E02000047,Barnet 024,E09000003,Barnet,E12000007,London,1632,1632,0,102.4,625,2.6,0,0,0
E01000135,Barnet 038A,E02000061,Barnet 038,E09000003,Barnet,E12000007,London,1564,1493,71,47.3,541,2.8,1,0,1
E01000136,Barnet 038B,E02000061,Barnet 038,E09000003,Barnet,E12000007,London,1532,1466,66,29.4,563,2.6,3,0,3
E01000137,Barnet 041A,E02000064,Barnet 041,E09000003,Barnet,E12000007,London,1729,1644,85,140.8,669,2.5,0,0,0
E01000138,Barnet 040A,E02000063,Barnet 040,E09000003,Barnet,E12000007,London,1449,1449,0,55.4,523,2.8,4,0,4
E01000139,Barnet 041B,E02000064,Barnet 041,E09000003,Barnet,E12000007,London,1429,1427,2,40.7,560,2.5,3,0,3
E01000140,Barnet 041C,E02000064,Barnet 041,E09000003,Barnet,E12000007,London,1631,1606,25,111.6,683,2.4,0,0,0
E01000141,Barnet 039A,E02000062,Barnet 039,E09000003,Barnet,E12000007,London,2104,2081,23,56.8,864,2.4,5,0,5
E01000142,Barnet 040B,E02000063,Barnet 040,E09000003,Barnet,E12000007,London,2381,2296,85,119.4,950,2.4,0,0,0
E01000143,Barnet 041D,E02000064,Barnet 041,E09000003,Barnet,E12000007,London,1459,1339,120,83.6,538,2.5,0,0,0
E01000144,Barnet 038C,E02000061,Barnet 038,E09000003,Barnet,E12000007,London,1538,1538,0,77.6,607,2.5,2,0,2
E01000145,Barnet 037A,E02000060,Barnet 037,E09000003,Barnet,E12000007,London,1517,1473,44,73.2,444,3.3,2,0,2
E01000146,Barnet 038D,E02000061,Barnet 038,E09000003,Barnet,E12000007,London,1716,1715,1,83.1,744,2.3,3,0,3
E01000147,Barnet 030A,E02000053,Barnet 030,E09000003,Barnet,E12000007,London,1734,1732,2,85.7,544,3.2,0,0,0
E01000148,Barnet 030B,E02000053,Barnet 030,E09000003,Barnet,E12000007,London,1873,1858,15,80.0,725,2.6,4,0,4
E01000150,Barnet 036A,E02000059,Barnet 036,E09000003,Barnet,E12000007,London,2060,2056,4,44.3,744,2.8,2,0,2
E01000151,Barnet 026B,E02000049,Barnet 026,E09000003,Barnet,E12000007,London,1711,1711,0,120.3,617,2.8,1,0,1
E01000152,Barnet 026C,E02000049,Barnet 026,E09000003,Barnet,E12000007,London,1729,1729,0,93.5,564,3.1,0,0,0
E01000153,Barnet 026D,E02000049,Barnet 026,E09000003,Barnet,E12000007,London,1541,1541,0,93.4,620,2.5,0,0,0
E01000154,Barnet 026E,E02000049,Barnet 026,E09000003,Barnet,E12000007,London,1360,1360,0,100.8,501,2.7,2,0,2
E01000155,Barnet 030D,E02000053,Barnet 030,E09000003,Barnet,E12000007,London,1880,1880,0,64.7,797,2.4,3,1,6
E01000156,Barnet 022A,E02000045,Barnet 022,E09000003,Barnet,E12000007,London,1875,1875,0,104.2,751,2.5,0,0,0
E01000157,Barnet 022B,E02000045,Barnet 022,E09000003,Barnet,E12000007,London,1541,1541,0,122.4,689,2.2,0,0,0
E01000158,Barnet 015A,E02000038,Barnet 015,E09000003,Barnet,E12000007,London,1470,1455,15,54.4,564,2.6,0,0,0
E01000159,Barnet 015B,E02000038,Barnet 015,E09000003,Barnet,E12000007,London,1777,1777,0,36.0,645,2.8,0,0,0
E01000160,Barnet 015C,E02000038,Barnet 015,E09000003,Barnet,E12000007,London,2061,2037,24,68.1,923,2.2,0,0,0
E01000161,Barnet 015D,E02000038,Barnet 015,E09000003,Barnet,E12000007,London,1821,1752,69,75.1,710,2.5,0,0,0
E01000162,Barnet 015E,E02000038,Barnet 015,E09000003,Barnet,E12000007,London,1599,1502,97,87.7,552,2.7,0,0,0
E01000163,Barnet 022C,E02000045,Barnet 022,E09000003,Barnet,E12000007,London,1558,1547,11,81.4,759,2.0,0,0,0
E01000164,Barnet 022D,E02000045,Barnet 022,E09000003,Barnet,E12000007,London,1686,1686,0,30.8,648,2.6,0,0,0
E01000165,Barnet 022E,E02000045,Barnet 022,E09000003,Barnet,E12000007,London,1862,1862,0,100.5,707,2.6,0,0,0
E01000166,Barnet 003A,E02000026,Barnet 003,E09000003,Barnet,E12000007,London,1582,1582,0,42.8,648,2.4,0,0,0
E01000167,Barnet 002A,E02000025,Barnet 002,E09000003,Barnet,E12000007,London,1307,1307,0,21.7,522,2.5,0,0,0
E01000168,Barnet 003B,E02000026,Barnet 003,E09000003,Barnet,E12000007,London,1564,1559,5,49.8,576,2.7,0,0,0
E01000169,Barnet 003C,E02000026,Barnet 003,E09000003,Barnet,E12000007,London,1490,1485,5,62.5,670,2.2,0,0,0
E01000170,Barnet 006A,E02000029,Barnet 006,E09000003,Barnet,E12000007,London,1636,1626,10,55.2,656,2.5,0,0,0
E01000171,Barnet 006B,E02000029,Barnet 006,E09000003,Barnet,E12000007,London,1849,1849,0,55.5,856,2.2,0,0,0
E01000172,Barnet 003D,E02000026,Barnet 003,E09000003,Barnet,E12000007,London,1677,1650,27,30.8,602,2.7,0,0,0
E01000173,Barnet 006C,E02000029,Barnet 006,E09000003,Barnet,E12000007,London,1719,1719,0,47.0,617,2.8,0,0,0
E01000174,Barnet 006D,E02000029,Barnet 006,E09000003,Barnet,E12000007,London,1728,1728,0,91.7,766,2.3,0,0,0
E01000175,Barnet 006E,E02000029,Barnet 006,E09000003,Barnet,E12000007,London,1585,1585,0,31.6,618,2.6,0,0,0
E01000176,Barnet 027A,E02000050,Barnet 027,E09000003,Barnet,E12000007,London,1613,1605,8,73.4,698,2.3,1,0,1
E01000177,Barnet 029A,E02000052,Barnet 029,E09000003,Barnet,E12000007,London,1628,1628,0,96.5,690,2.4,0,0,0
E01000178,Barnet 027B,E02000050,Barnet 027,E09000003,Barnet,E12000007,London,1791,1791,0,42.9,695,2.6,2,0,2
E01000179,Barnet 029B,E02000052,Barnet 029,E09000003,Barnet,E12000007,London,1614,1614,0,112.2,763,2.1,0,0,0
E01000180,Barnet 029C,E02000052,Barnet 029,E09000003,Barnet,E12000007,London,1607,1607,0,94.1,689,2.3,2,0,2
E01000181,Barnet 029D,E02000052,Barnet 029,E09000003,Barnet,E12000007,London,1711,1711,0,119.6,669,2.6,3,0,3
E01000182,Barnet 029E,E02000052,Barnet 029,E09000003,Barnet,E12000007,London,1691,1691,0,77.1,746,2.3,2,0,2
E01000183,Barnet 033A,E02000056,Barnet 033,E09000003,Barnet,E12000007,London,1473,1392,81,63.7,584,2.4,3,0,3
E01000184,Barnet 027C,E02000050,Barnet 027,E09000003,Barnet,E12000007,London,1414,1414,0,20.6,503,2.8,4,0,4
E01000185,Barnet 029F,E02000052,Barnet 029,E09000003,Barnet,E12000007,London,1447,1447,0,117.1,606,2.4,3,0,3
E01000186,Barnet 014A,E02000037,Barnet 014,E09000003,Barnet,E12000007,London,1612,1612,0,63.2,501,3.2,3,0,3
E01000187,Barnet 014B,E02000037,Barnet 014,E09000003,Barnet,E12000007,London,1657,1657,0,76.8,593,2.8,0,0,0
E01000188,Barnet 014C,E02000037,Barnet 014,E09000003,Barnet,E12000007,London,1554,1554,0,4.9,516,3.0,0,0,0
E01000189,Barnet 014D,E02000037,Barnet 014,E09000003,Barnet,E12000007,London,1814,1814,0,111.9,711,2.6,0,0,0
E01000190,Barnet 014E,E02000037,Barnet 014,E09000003,Barnet,E12000007,London,1579,1579,0,63.6,546,2.9,0,0,0
E01000191,Barnet 014F,E02000037,Barnet 014,E09000003,Barnet,E12000007,London,1525,1525,0,60.0,530,2.9,2,0,2
E01000192,Barnet 018A,E02000041,Barnet 018,E09000003,Barnet,E12000007,London,1850,1850,0,65.1,683,2.7,3,1,6
E01000193,Barnet 018B,E02000041,Barnet 018,E09000003,Barnet,E12000007,London,1709,1709,0,56.2,594,2.9,4,0,4
E01000194,Barnet 018C,E02000041,Barnet 018,E09000003,Barnet,E12000007,London,1640,1640,0,49.3,610,2.7,3,0,3
E01000195,Barnet 013A,E02000036,Barnet 013,E09000003,Barnet,E12000007,London,1788,1788,0,56.7,697,2.6,0,0,0
E01000196,Barnet 028A,E02000051,Barnet 028,E09000003,Barnet,E12000007,London,1802,1802,0,73.3,896,2.0,5,0,5
